country,visitor_info
(not set),"[{7979881169706717259, 20180407, Android Webview}, {294314693764960238, 20180406, Chrome}, {4877400461324229675, 20180330, Chrome}, {1112044339891999419, 20180304, Firefox}, {161362356697548817, 20180117, Chrome}]"
Afghanistan,"[{8601695896060286350, 20171007, Opera Mini}]"
Albania,"[{419463020086082484, 20171117, Chrome}, {6161175841328229574, 20170905, Chrome}, {4463362730946380817, 20170823, Chrome}]"
Algeria,"[{6449298902659351795, 20180312, Safari}, {284033333197705068, 20171217, Chrome}, {2695308450179525996, 20171126, Chrome}, {6608189206350284677, 20171120, Chrome}]"
Argentina,"[{23938784514468094, 20180428, Chrome}, {7764435574213944155, 20180425, Chrome}, {1472356428799977001, 20180418, Chrome}, {9586037193053152974, 20180418, Chrome}, {9776951351928555340, 20180410, Firefox}]"
Armenia,"[{7853753634952385369, 20170804, Chrome}]"
Australia,"[{5312457673017425684, 20180413, Chrome}, {164118722785103493, 20180408, Chrome}, {732314404227811243, 20180325, Chrome}, {7196424034808123210, 20180321, Chrome}, {4611701191809975564, 20180321, Chrome}]"
Austria,"[{6885620922296260770, 20180424, Chrome}, {2059482277589840173, 20180319, Safari}, {0571442015088640177, 20180313, Chrome}, {4982045097498971563, 20180211, Chrome}, {900669599520385755, 20180204, Chrome}]"
Bahrain,"[{954630385851572348, 20180428, Chrome}, {8910305468230252344, 20171228, Chrome}]"
Bangladesh,"[{1208888957920943490, 20180427, Opera Mini}, {712382923312732943, 20180423, Opera Mini}, {6931580334800156716, 20180419, Opera Mini}, {2146065021203222271, 20180419, Chrome}, {2960419631492851384, 20180415, Firefox}]"
Belarus,"[{3063857729690262476, 20180401, Chrome}, {6352951574337959655, 20180207, Chrome}, {1611822486857115927, 20180110, Chrome}, {2899932145132626561, 20171006, Chrome}]"
Belgium,"[{2074987679893293633, 20180427, Chrome}, {5791951596215193660, 20180401, Safari}, {954193976405123980, 20180315, Chrome}, {8511391966557065127, 20180313, Chrome}, {9198138306383131373, 20180313, Safari}]"
Benin,"[{4179119030533940649, 20180218, Opera Mini}, {2410860015659598696, 20171213, Chrome}]"
Bolivia,"[{3802523740016678049, 20171212, Firefox}, {6177816295753935332, 20171026, Chrome}]"
Bosnia & Herzegovina,"[{0766372164350609105, 20180309, Chrome}, {6842673254798722208, 20180306, Chrome}, {9348465822110498330, 20180128, Chrome}, {2929237180873662727, 20180122, Chrome}, {8174797146685021431, 20171213, Firefox}]"
Brazil,"[{7293461304122696380, 20180426, Chrome}, {8149221532729471935, 20180425, Firefox}, {742377724395793678, 20180424, Chrome}, {4535539246211622069, 20180424, Chrome}, {9413675171959707938, 20180419, Chrome}]"
Bulgaria,"[{9147481110347981312, 20180401, Chrome}, {1999695309654274921, 20180103, Chrome}, {6930185268300639141, 20171225, Chrome}, {1097107220368394821, 20171103, Firefox}, {7649532491047537745, 20171016, Chrome}]"
Cambodia,"[{3460802070852352847, 20180312, Opera Mini}, {8201630742242715300, 20171213, Chrome}, {3094047954483603559, 20171114, Samsung Internet}]"
Cameroon,"[{3644785067400402732, 20171104, Opera Mini}, {8573422261376120522, 20170809, Chrome}]"
Canada,"[{6875605806866573716, 20180421, Chrome}, {5433272397089715776, 20180419, Safari}, {2366378399315892216, 20180419, Safari}, {8417146350148991364, 20180418, Chrome}, {0143304344193165900, 20180418, Chrome}]"
Cape Verde,"[{2705439164919597987, 20180317, YaBrowser}]"
Caribbean Netherlands,"[{2326423717503168835, 20180108, Chrome}]"
Chile,"[{1001369787759770899, 20180226, Chrome}, {1693567922821625208, 20180124, Android Webview}, {3660284475991746463, 20171222, Safari}, {5428190851252701123, 20171112, Safari}, {5265092888430258014, 20170916, Chrome}]"
China,"[{648971045249616473, 20180418, Chrome}, {694818674485593204, 20180410, Chrome}, {5828019250220081657, 20180224, Chrome}, {4266649145953150998, 20180223, Chrome}, {7627642196323421808, 20171213, Android Webview}]"
Colombia,"[{9269362011475007239, 20180427, Chrome}, {361670701106362182, 20180327, Chrome}, {5731005040678744612, 20180313, Chrome}, {1611415423910949544, 20180309, Chrome}, {7458903914366748916, 20180225, Edge}]"
Congo - Kinshasa,"[{6190889660513668023, 20180407, Opera Mini}, {4741692998427927278, 20180407, Opera Mini}]"
Costa Rica,"[{7139878528789959252, 20180106, Chrome}, {6349240780616557333, 20170807, Chrome}]"
Croatia,"[{6703524554322055020, 20180416, Firefox}, {3138898516936696566, 20180405, Chrome}, {8081253605031776230, 20180327, Chrome}, {1356258838355951636, 20171108, Chrome}, {3746885258245554081, 20171028, Chrome}]"
Cyprus,"[{2351700876847135056, 20171029, Chrome}]"
Czechia,"[{530876342475448268, 20180425, Chrome}, {5313528576430685179, 20180423, Chrome}, {7997675125599108755, 20180414, Chrome}, {1186029232341782365, 20180413, Chrome}, {5420205528205065697, 20180318, Chrome}]"
Côte d’Ivoire,"[{7818337618902529369, 20171228, Opera Mini}, {1287859942831997054, 20171211, Opera Mini}]"
Denmark,"[{7589367155813107623, 20180430, Chrome}, {6005226687185385685, 20180317, Safari}, {5808822650037807970, 20180126, Internet Explorer}, {6079238898550612202, 20180112, Safari}, {1311016398718492272, 20171224, Chrome}]"
Djibouti,"[{6955032881580993446, 20180227, Chrome}]"
Dominican Republic,"[{2868890541595247092, 20171228, Chrome}, {378246029773244367, 20171017, Safari}]"
Ecuador,"[{8225072588972456808, 20180219, Opera}, {9537058361484574713, 20180208, Chrome}, {8277741506256003355, 20171231, Opera}, {293592772658470690, 20171211, Chrome}, {1564099042537285395, 20171025, Chrome}]"
Egypt,"[{2178287788100154932, 20180421, Chrome}, {5054937355418229662, 20180407, Opera Mini}, {3147184940152380891, 20180403, Chrome}, {3606341364095135548, 20180329, Android Webview}, {3799144859030272227, 20180326, Chrome}]"
El Salvador,"[{3900586787046215352, 20171215, Chrome}, {7202637543555235863, 20170926, Chrome}]"
Estonia,"[{1701482556153994072, 20180304, Firefox}, {6999805135218761250, 20180130, Firefox}, {1928498480018165387, 20171229, Chrome}, {165727835161176113, 20171009, Safari}, {724570236987203199, 20170929, Chrome}]"
Ethiopia,"[{202103017896120117, 20171211, Opera Mini}, {0647758622541454744, 20171112, Opera Mini}]"
Finland,"[{9139920534626510375, 20180414, Firefox}, {1040923633943818876, 20180224, Firefox}, {6206114823346649638, 20180105, Internet Explorer}, {445012616486066295, 20171229, Chrome}, {3225029429149048629, 20171211, Chrome}]"
France,"[{1489997016666351888, 20180421, Chrome}, {3091876136286869404, 20180419, Chrome}, {8829526022332498029, 20180418, Chrome}, {2424744967271740924, 20180416, Chrome}, {5677597391362267615, 20180412, Chrome}]"
Georgia,"[{2121471155359156346, 20171004, Firefox}, {9307033854706649518, 20170920, Safari}, {075086097865787900, 20170905, Chrome}, {4993835637521393877, 20170831, Android Webview}]"
Germany,"[{4733202414859435991, 20180427, Safari}, {445981377616767841, 20180425, Chrome}, {1039686124841410, 20180421, Chrome}, {9770970960664029735, 20180420, Chrome}, {7478962072488786861, 20180414, Safari}]"
Greece,"[{1823797621154846894, 20180414, Chrome}, {2805329894328337244, 20180215, Chrome}, {9608008290513224478, 20180110, Chrome}, {6706399262594095231, 20171220, Chrome}, {2738804458671397750, 20170924, Safari}]"
Guatemala,"[{5513360556052946383, 20180316, Chrome}, {887790885115664791, 20180222, Chrome}, {3812143722723668151, 20171214, Chrome}, {2477984640676349257, 20171212, Chrome}]"
Guinea,"[{7157664644281692244, 20180202, Opera Mini}, {8859899208257058924, 20171127, Opera Mini}]"
Haiti,"[{5564307015043364136, 20171212, Chrome}]"
Hong Kong,"[{2706618506689752338, 20180427, Chrome}, {294061770080763750, 20180417, Chrome}, {1720327685490452911, 20180304, Chrome}, {5860990212262830373, 20180208, Chrome}, {5839630007340726260, 20180128, Chrome}]"
Hungary,"[{5542391091907318984, 20180223, Safari}, {0306958624115582888, 20180216, Firefox}, {7551346676027888010, 20180210, Chrome}, {6411709266627209839, 20180126, Chrome}, {2420392490214398269, 20171125, Chrome}]"
India,"[{9709836187081474756, 20180427, UC Browser}, {3872817176160898733, 20180424, Chrome}, {9332078720320726170, 20180421, Chrome}, {6058183251306427387, 20180420, Chrome}, {2051933205800518872, 20180420, Chrome}]"
Indonesia,"[{3841177160965256920, 20180419, Chrome}, {6294798394311919888, 20180408, Chrome}, {9392379107969092038, 20180407, Opera Mini}, {2085457817118490730, 20180405, Chrome}, {3714861797717809303, 20180325, Samsung Internet}]"
Iraq,"[{2746208204645804572, 20180419, Samsung Internet}, {3166885841211494652, 20180403, Chrome}, {7705286442520380008, 20180317, Android Webview}, {3531745243618727460, 20180304, Chrome}, {3709440529104866954, 20180304, Chrome}]"
Ireland,"[{6030354974434608425, 20180420, Chrome}, {8779508865108442135, 20180413, Chrome}, {9918090017349051682, 20180405, Chrome}, {7092622252678418940, 20180324, Samsung Internet}, {9784187452982937342, 20180321, Chrome}]"
Israel,"[{7384490299980202646, 20180317, Chrome}, {4785553327726669839, 20180311, Chrome}, {5530251277597831551, 20180303, Chrome}, {51766942810434203, 20180223, Chrome}, {5231861537308148550, 20180208, Chrome}]"
Italy,"[{3664579376806313263, 20180428, Chrome}, {3529529218279483559, 20180425, Chrome}, {1009325679212305776, 20180423, Chrome}, {0208220668731635487, 20180422, Chrome}, {5198175655817826, 20180420, Chrome}]"
Japan,"[{1395652579314227602, 20180430, Internet Explorer}, {1475589354875124054, 20180427, UC Browser}, {5582286605627155973, 20180426, Safari}, {268209909659440450, 20180424, Chrome}, {3836176254258569552, 20180423, Internet Explorer}]"
Jersey,"[{7902128649054141281, 20180326, Safari}]"
Jordan,"[{8114545085097958482, 20180123, Safari}, {9797332808818592924, 20171217, Chrome}, {1383232376828807696, 20171106, Chrome}, {3407481265095814555, 20171003, Firefox}, {1935960017624777925, 20171003, Chrome}]"
Kazakhstan,"[{2160650121974394770, 20180119, Internet Explorer}, {9022936695660391641, 20171218, Chrome}, {656110007927717010, 20171213, Chrome}, {648261645383195475, 20171108, Chrome}, {245366950602767440, 20171003, Chrome}]"
Kenya,"[{6352181202616722791, 20180211, Edge}, {461395565640763590, 20180209, Opera Mini}, {7212330379873693225, 20171029, Chrome}, {6035673647829963573, 20171017, Opera Mini}]"
Kosovo,"[{1623722850503099940, 20180402, Chrome}]"
Kuwait,"[{419182122753289568, 20180312, Chrome}, {382008046440121592, 20171210, Chrome}, {09566127508691213, 20170823, Chrome}]"
Kyrgyzstan,"[{9770720587705700109, 20180129, Firefox}]"
Laos,"[{0533328127531897938, 20171110, Chrome}]"
Lebanon,"[{5872219400658579751, 20170816, Safari}]"
Lithuania,"[{0002430938450864333, 20180401, Chrome}, {9024710182235691527, 20171125, Chrome}, {9218764832153209878, 20170928, Chrome}, {6170016068355330220, 20170829, Firefox}]"
Macedonia (FYROM),"[{680905043273637020, 20180320, Chrome}, {4264889267285715037, 20180127, Chrome}, {6408653832143907052, 20170909, Safari}, {6775261910820856172, 20170821, Chrome}]"
Madagascar,"[{3707870597831602561, 20171213, Firefox}]"
Malaysia,"[{686597338716157746, 20180402, Chrome}, {2341550741802233623, 20180326, Chrome}, {5306995706421822040, 20180225, Chrome}, {1218757716198711403, 20180224, Samsung Internet}, {7805274372099053714, 20180223, Chrome}]"
Malta,"[{745265139299547123, 20171203, Chrome}]"
Mauritania,"[{124733316736930771, 20171117, Opera Mini}]"
Mauritius,"[{1037154344159432536, 20180324, Chrome}, {3527359373726936696, 20180111, Internet Explorer}]"
Mexico,"[{3720784073013925369, 20180429, Chrome}, {5666259523735813769, 20180428, Opera}, {410793694748902118, 20180424, Chrome}, {5967521206739001453, 20180423, Chrome}, {1104049329749903226, 20180418, Chrome}]"
Moldova,"[{9048166547251242546, 20180201, Chrome}]"
Mongolia,"[{853569928197640329, 20170904, Safari}]"
Montenegro,"[{4816291534437956061, 20180309, Chrome}, {7059990204775600488, 20180219, Chrome}, {3715400339654212365, 20180112, Chrome}]"
Morocco,"[{001986986785044128, 20180429, Chrome}, {7791052656564765771, 20180417, Safari}, {2085190163330819909, 20180410, Chrome}, {8282163433893371009, 20180313, Chrome}, {4077029278265957503, 20180205, Chrome}]"
Netherlands,"[{0107562190208063537, 20180425, Internet Explorer}, {2227016495846442160, 20180425, Firefox}, {6549687748144446730, 20180424, Safari}, {2595036447423135182, 20180421, Safari}, {1863012299086018357, 20180419, Firefox}]"
New Zealand,"[{3438975738161771262, 20180320, Firefox}, {3177869805143309228, 20180309, Chrome}, {2295189513652545844, 20180216, Chrome}, {9259911795190543213, 20180206, Chrome}, {5404078721285402277, 20180204, Chrome}]"
Nicaragua,"[{9450232458327554738, 20171216, Android Webview}, {2523137582586579950, 20170921, Safari}]"
Niger,"[{5038492694582175435, 20171212, Chrome}]"
Nigeria,"[{937744001938316845, 20180325, Android Webview}, {5107321495109172099, 20180323, Android Webview}, {5967965241734486742, 20180320, Android Webview}, {0852633838811059388, 20180320, Opera Mini}, {4855656507315699654, 20180305, Chrome}]"
Norway,"[{3241319051252675807, 20180430, Chrome}, {4408464597574994264, 20180404, Firefox}, {1326535848697153438, 20180322, Opera}, {8520809044207564960, 20180307, Chrome}, {5910682915268810187, 20180221, Safari}]"
Oman,"[{4380253468121869449, 20180204, Chrome}, {4974044823628462495, 20171011, Chrome}, {0872148614462971213, 20171001, Internet Explorer}]"
Pakistan,"[{8399341652321299472, 20171223, Android Webview}, {6564544833158540583, 20171215, Chrome}, {5705298838416765504, 20171213, Chrome}, {6564544833158540583, 20171213, Chrome}, {0329698186341619814, 20171203, Firefox}]"
Palestine,"[{8467313251950831528, 20180109, Android Webview}]"
Panama,"[{5847413003976691928, 20180311, Samsung Internet}, {4352316842171079848, 20180209, Edge}]"
Peru,"[{5954345230364821082, 20180419, Chrome}, {5880449479755433, 20180328, Chrome}, {7033651983153126686, 20180323, Chrome}, {6588901440307060529, 20180315, Safari}, {9999818112872622034, 20180313, Chrome}]"
Philippines,"[{0563952407653206444, 20180409, Chrome}, {1618218855011110423, 20180325, Chrome}, {6069758591417171793, 20180322, Chrome}, {542304735228207237, 20180302, Chrome}, {1938654401151458114, 20180212, Chrome}]"
Poland,"[{4202833156455661756, 20180422, Chrome}, {9333575980889687992, 20180422, Opera}, {5095197072937105141, 20180418, Firefox}, {3718231754065239982, 20180416, Chrome}, {5336781224059510933, 20180414, Android Webview}]"
Portugal,"[{340721360399543212, 20180420, Chrome}, {1520354602459272141, 20180406, Chrome}, {8990811304421744035, 20180402, Chrome}, {6694740290790153336, 20180319, Chrome}, {5647299148369106266, 20180223, Chrome}]"
Puerto Rico,"[{6993654582448081669, 20180203, Firefox}, {9101057913971586973, 20180105, Chrome}, {3010737857987079932, 20171117, Safari}]"
Qatar,"[{4050104865070182295, 20180315, Chrome}]"
Romania,"[{1107406994031919067, 20180329, Chrome}, {6590021170899172901, 20180328, Chrome}, {7879605734866996871, 20180316, Chrome}, {1561496563855508038, 20180310, Chrome}, {6744808949481792219, 20180306, Chrome}]"
Russia,"[{1616603331725339544, 20180430, Chrome}, {608893053656693116, 20180428, Chrome}, {0032646285800256877, 20180416, Firefox}, {0885964130554821519, 20180408, Chrome}, {9869504143918790380, 20180406, Opera}]"
Saudi Arabia,"[{6563297091261408012, 20180425, Chrome}, {6666536450131891128, 20180419, Safari}, {7122004158259814800, 20180314, Chrome}, {549381735053030465, 20180207, Chrome}, {6371547877575365618, 20180103, Safari (in-app)}]"
Serbia,"[{3999067622401941241, 20180424, Chrome}, {9610768754252873420, 20180416, Chrome}, {4062430555349874051, 20180304, Chrome}, {9945996605232300067, 20180112, Samsung Internet}, {1812406334367699329, 20180112, Chrome}]"
Singapore,"[{5207855608450395742, 20180420, Chrome}, {007242387698019127, 20180418, Safari}, {951338303015352807, 20180412, Safari}, {3849596746383943060, 20180401, Chrome}, {7477638593794484792, 20180329, Firefox}]"
Slovakia,"[{7704033320942019772, 20180306, Safari}, {964488798500049474, 20171229, Chrome}, {1133345995294867890, 20170901, Chrome}, {860132961601012625, 20170831, Firefox}]"
Slovenia,"[{4343466917005527841, 20171014, Chrome}, {441320480610234504, 20170817, Chrome}, {9055171762916953116, 20170811, Safari}]"
South Africa,"[{3816343393217757096, 20180421, Safari}, {8174164108910996395, 20180417, Android Webview}, {4522342673154444474, 20180323, Android Webview}, {0078711758740912506, 20180312, Android Webview}, {7917816541604630137, 20180218, Android Webview}]"
South Korea,"[{8149699318939798193, 20180427, Safari}, {2847042310499662050, 20180426, Chrome}, {1717198829864517937, 20180417, Chrome}, {7707847138129449300, 20180408, Chrome}, {2188621738964416117, 20180405, Safari}]"
Spain,"[{6555353203063012170, 20180425, Chrome}, {2022396368425509509, 20180424, Chrome}, {4740070403564023867, 20180418, Chrome}, {4102555513930029892, 20180412, Chrome}, {2290202991929504916, 20180412, Chrome}]"
Sri Lanka,"[{2705871133587031458, 20180410, Chrome}, {2678412123112506637, 20180405, Chrome}, {0136124560141416361, 20180402, Chrome}, {4030972228671592016, 20180328, Chrome}, {1348750757972994325, 20180326, Chrome}]"
St. Vincent & Grenadines,"[{1543076807313141797, 20180108, Chrome}]"
Sweden,"[{2643615727697285084, 20180429, Chrome}, {1778738118060630848, 20180425, Safari}, {2141144143675032517, 20180418, Safari}, {4082424175724183806, 20180417, Safari}, {8670194191575376829, 20180415, Safari}]"
Switzerland,"[{5312391174285660516, 20180425, Chrome}, {1706381732496157814, 20180409, Chrome}, {6663126654980176245, 20180402, Safari}, {4272224977447706801, 20180327, Safari}, {8872578259782740561, 20180326, Chrome}]"
Taiwan,"[{3143851435611951490, 20180430, Chrome}, {4143653248955935252, 20180428, Chrome}, {3121984520872745556, 20180425, Chrome}, {2245877793225341171, 20180424, Safari}, {567910894608460380, 20180423, Chrome}]"
Tanzania,"[{4550610571103552284, 20171129, Opera Mini}, {0528468630680708593, 20171116, Opera Mini}, {6991316454788622800, 20170916, Chrome}]"
Thailand,"[{3355254423738911623, 20180421, Android Webview}, {7481402772111601276, 20180408, Chrome}, {2949978038346508084, 20180331, Chrome}, {1910191233566357108, 20180331, Chrome}, {5434752817745049978, 20180326, Android Webview}]"
Togo,"[{3590316713637962605, 20171213, Firefox}]"
Tunisia,"[{54903871699522235, 20180331, Opera Mini}, {6610995938378238971, 20180127, Android Webview}, {544406026225565379, 20180121, Chrome}, {6139946421285368437, 20171228, Chrome}]"
Turkey,"[{6719476862561696023, 20180424, Chrome}, {1824638691912708556, 20180422, Safari}, {5957296467178652709, 20180417, Chrome}, {5912320996892947123, 20180407, Android Webview}, {4122698337385298575, 20180402, Chrome}]"
Ukraine,"[{4476633969439825599, 20180430, Chrome}, {8699782662285924762, 20180423, Edge}, {816891085447265347, 20180420, Chrome}, {9538484545106906413, 20180319, Chrome}, {4021996125987400346, 20180317, Internet Explorer}]"
United Arab Emirates,"[{948218275244233927, 20180418, Safari}, {7388953015819434124, 20180418, Chrome}, {6364726773433238844, 20180413, Chrome}, {8674066552144629165, 20180315, Samsung Internet}, {1917073639466124862, 20180118, Samsung Internet}]"
United Kingdom,"[{9240933658706220507, 20180428, Chrome}, {5705898470177817630, 20180426, Safari}, {3647225143815095049, 20180424, Chrome}, {155692150550621741, 20180423, Chrome}, {4771390213803175263, 20180421, Chrome}]"
United States,"[{7188563003410732064, 20180430, Chrome}, {538413446896544669, 20180430, Chrome}, {6950739791183563284, 20180430, Safari}, {9538380443179493883, 20180430, Safari}, {9496824132823220853, 20180430, Safari}]"
Uruguay,"[{1221951104378598748, 20171024, Chrome}, {3148081918248050090, 20171018, Chrome}, {2925858970177077210, 20171017, Chrome}]"
Uzbekistan,"[{8111165657348111831, 20171113, Opera Mini}]"
Venezuela,"[{5084408046421895390, 20180429, Chrome}, {8287966625316832797, 20180402, Chrome}, {1095352741392643544, 20180302, Chrome}, {9482945477004049885, 20171219, Chrome}, {63213241468272913, 20171129, Chrome}]"
Vietnam,"[{288198448240687647, 20180427, Coc Coc}, {1484119532388814914, 20180418, Chrome}, {1459040300216143093, 20180405, Chrome}, {1097304374826254788, 20180328, Chrome}, {8720537867616443112, 20180327, Chrome}]"
Yemen,"[{0995711724981514790, 20180406, Chrome}, {9044120017660396436, 20180115, Chrome}, {4878551465617184690, 20171130, Opera}]"
